benchmark,model,baseline,is_rate,delta_pp,ci_low_pp,ci_high_pp,p_mcnemar,n_paired
musique,Llama 70B,react,96.66666666666667,15.0,6.666666666666667,25.0,0.00390625,60
musique,Llama 70B,selfcheckgpt,96.66666666666667,26.666666666666668,16.625000000000366,38.333333333333336,3.0517578125e-05,60
musique,Llama 70B,tot,96.66666666666667,41.66666666666667,30.0,55.00000000000001,5.960464477539063e-08,60
musique,Mistral 12B,direct,91.66666666666666,20.0,10.0,30.0,0.00048828125,60
musique,Mistral 12B,self_refine,91.66666666666666,30.0,18.333333333333332,41.66666666666667,7.62939453125e-06,60
musique,Mistral 12B,reflexion,91.66666666666666,6.666666666666667,0.0,15.0,0.21875,60
musique,Mistral 12B,full_regen,91.66666666666666,20.0,8.333333333333332,31.666666666666664,0.0018310546875,60
musique,Mistral 12B,react,91.66666666666666,23.333333333333332,13.333333333333334,35.0,0.0001220703125,60
musique,Mistral 12B,selfcheckgpt,91.66666666666666,16.666666666666664,6.666666666666667,26.666666666666668,0.00634765625,60
musique,Mistral 12B,tot,91.66666666666666,21.568627450980394,7.8431372549019605,35.294117647058826,0.00738525390625,51
musique,Qwen 7B,direct,85.0,5.0,0.0,11.666666666666666,0.25,60
musique,Qwen 7B,self_refine,85.0,21.666666666666668,10.0,33.33333333333333,0.002349853515625,60
musique,Qwen 7B,reflexion,85.0,1.6666666666666667,-3.3333333333333335,6.666666666666667,1.0,60
musique,Qwen 7B,full_regen,85.0,5.0,-5.0,15.0,0.5078125,60
musique,Qwen 7B,react,85.0,20.0,10.0,30.0,0.00048828125,60
musique,Qwen 7B,selfcheckgpt,85.0,10.0,-1.6666666666666667,21.666666666666668,0.14599609375,60
musique,Qwen 7B,tot,85.0,4.545454545454546,-13.636363636363635,22.727272727272727,1.0,22
